,0,1,2,3,4,5,6,7,8,9,10,11
43,7000.0,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0
44,6900.0,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0
45,6900.0,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0
46,6875.0,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0
47,6525.0,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0
48,6450.0,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0
49,6475.0,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0
50,6350.0,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0
51,6450.0,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0
52,6425.0,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0
53,6500.0,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0
54,6625.0,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0
55,6550.0,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0
56,6600.0,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0
57,6625.0,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0
58,6675.0,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0
59,6800.0,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0
60,6850.0,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0
61,6825.0,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0
62,7125.0,7275.0,7000.0,7100.0,7075.0,7050.0,7025.0,7000.0,6950.0,7175.0,7025.0,6975.0
